time;random
0:57.991267;1
0:58.024633;1
0:58.058000;1
0:58.091367;1
0:58.124733;1
0:58.158100;1
0:58.291567;1
0:58.324933;1
0:58.358300;1
0:58.391667;1
0:58.591867;1
0:58.658600;1
0:58.691967;1
0:58.725333;1
0:58.758700;1
0:58.792067;1
0:58.858800;1
0:58.892167;1
0:58.925533;1
0:58.958900;1
0:58.992267;1
0:59.025633;1
0:59.059000;1
0:59.092367;1
0:59.159100;1
0:59.192467;1
0:59.225833;1
0:59.259200;1
0:59.292567;1
0:59.325933;1
0:59.359300;1
0:59.392667;1
0:59.426033;1
0:59.459400;1
0:59.492767;1
0:59.526133;1
0:59.559500;1
0:59.659600;1
0:59.692967;1
0:59.726333;1
0:59.759700;1
0:59.793067;1
0:59.826433;1
0:59.859800;1
0:59.893167;1
0:59.926533;1
0:59.959900;1
0:59.993267;1
1:0.026633;1
1:0.060000;1
1:0.093367;1
1:0.126733;1
1:0.160100;1
1:0.193467;1
1:0.226833;1
1:0.260200;1
1:0.293567;1
1:0.326933;1
1:0.360300;1
1:0.393667;1
1:0.427033;1
1:0.460400;1
1:0.493767;1
1:0.527133;1
1:0.560500;1
1:0.593867;1
1:0.627233;1
1:0.660600;1
1:0.693967;1
1:0.727333;1
1:0.760700;1
1:0.794067;1
1:0.827433;1
1:0.860800;1
1:0.894167;1
1:0.927533;1
1:0.960900;1
1:0.994267;1
1:1.027633;1
1:1.061000;1
1:1.094367;1
1:1.127733;1
1:1.161100;1
1:1.194467;1
1:1.227833;1
1:1.261200;1
1:1.294567;1
1:1.327933;1
1:1.361300;1
1:1.394667;1
1:1.428033;1
1:1.461400;1
1:1.494767;1
1:1.528133;1
1:1.561500;1
1:1.594867;1
1:1.628233;1
1:1.661600;1
1:1.694967;1
1:1.728333;1
1:1.761700;1
1:1.795067;1
1:1.828433;1
1:1.861800;1
1:1.895167;1
1:1.928533;1
1:1.961900;1
1:1.995267;1
1:2.028633;1
1:2.062000;1
1:2.095367;1
1:2.128733;1
1:2.162100;1
1:2.195467;1
1:2.228833;1
1:2.262200;1
1:2.295567;1
1:2.328933;1
1:2.362300;1
1:2.395667;1
1:2.429033;1
1:2.462400;1
1:2.495767;1
1:2.529133;1
1:2.562500;1
1:2.595867;1
1:2.629233;1
1:2.662600;1
1:2.695967;1
1:2.729333;1
1:2.762700;1
1:2.796067;1
1:2.829433;1
